job,marital,education,contact,duration,campaign,age,ConsumerPriceeIndex,ConsumerConfidenceIndex,y
services,married,high.school,telephone,962,1,34,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,102,2,55,93.994,-36.4,no
technician,single,basic.9y,telephone,10,4,47,93.994,-36.4,no
retired,married,professional.course,telephone,118,3,51,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,92,2,47,93.994,-36.4,no
technician,married,basic.4y,telephone,143,3,56,93.994,-36.4,no
admin.,married,basic.9y,telephone,189,3,53,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,75,2,36,93.994,-36.4,no
blue-collar,divorced,basic.9y,telephone,189,2,42,93.994,-36.4,no
blue-collar,divorced,basic.6y,telephone,55,2,44,93.994,-36.4,no
housemaid,married,basic.9y,telephone,935,3,39,93.994,-36.4,yes
admin.,single,high.school,telephone,56,2,37,93.994,-36.4,no
blue-collar,married,unknown,telephone,5,2,60,93.994,-36.4,no
services,married,high.school,telephone,225,2,36,93.994,-36.4,no
management,divorced,university.degree,telephone,125,2,42,93.994,-36.4,no
admin.,married,high.school,telephone,286,2,31,93.994,-36.4,no
technician,divorced,professional.course,telephone,206,2,53,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,164,2,45,93.994,-36.4,no
technician,single,professional.course,telephone,98,2,37,93.994,-36.4,no
self-employed,married,professional.course,telephone,446,2,47,93.994,-36.4,no
blue-collar,divorced,high.school,telephone,742,2,49,93.994,-36.4,no
admin.,married,university.degree,telephone,120,2,36,93.994,-36.4,no
services,divorced,high.school,telephone,122,3,35,93.994,-36.4,no
unknown,married,unknown,telephone,362,4,38,93.994,-36.4,no
services,single,high.school,telephone,357,2,38,93.994,-36.4,no
blue-collar,divorced,high.school,telephone,200,2,50,93.994,-36.4,no
retired,married,professional.course,telephone,107,2,59,93.994,-36.4,no
unknown,married,unknown,telephone,267,2,43,93.994,-36.4,no
admin.,married,high.school,telephone,248,2,42,93.994,-36.4,no
admin.,married,basic.6y,telephone,215,2,40,93.994,-36.4,no
blue-collar,married,unknown,telephone,209,2,46,93.994,-36.4,no
housemaid,divorced,basic.4y,telephone,205,2,57,93.994,-36.4,no
admin.,married,university.degree,telephone,261,3,42,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,83,2,41,93.994,-36.4,no
management,divorced,university.degree,telephone,106,3,54,93.994,-36.4,no
admin.,single,university.degree,telephone,106,2,27,93.994,-36.4,no
admin.,married,high.school,telephone,108,2,36,93.994,-36.4,no
blue-collar,married,professional.course,telephone,214,2,58,93.994,-36.4,no
management,married,university.degree,telephone,358,2,40,93.994,-36.4,no
admin.,single,basic.9y,telephone,453,2,34,93.994,-36.4,no
admin.,divorced,high.school,telephone,364,2,33,93.994,-36.4,no
retired,married,basic.6y,telephone,136,2,56,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,173,2,42,93.994,-36.4,no
services,married,high.school,telephone,241,2,43,93.994,-36.4,no
management,single,basic.9y,telephone,224,3,54,93.994,-36.4,no
admin.,single,basic.6y,telephone,148,2,53,93.994,-36.4,no
technician,single,unknown,telephone,230,2,42,93.994,-36.4,no
services,married,basic.6y,telephone,199,3,40,93.994,-36.4,no
technician,married,professional.course,telephone,196,2,54,93.994,-36.4,no
housemaid,single,professional.course,telephone,111,4,40,93.994,-36.4,no
admin.,single,university.degree,telephone,231,3,26,93.994,-36.4,no
admin.,married,high.school,telephone,316,3,33,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,240,2,35,93.994,-36.4,no
admin.,married,high.school,telephone,669,3,36,93.994,-36.4,no
services,single,high.school,telephone,425,2,29,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,121,2,36,93.994,-36.4,no
management,married,high.school,telephone,174,5,35,93.994,-36.4,no
self-employed,single,university.degree,telephone,88,5,50,93.994,-36.4,no
services,married,high.school,telephone,313,3,46,93.994,-36.4,no
entrepreneur,married,high.school,telephone,135,4,49,93.994,-36.4,no
technician,single,professional.course,telephone,152,2,42,93.994,-36.4,no
blue-collar,single,high.school,telephone,402,3,36,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,221,2,55,93.994,-36.4,no
management,married,university.degree,telephone,213,2,41,93.994,-36.4,no
management,married,professional.course,telephone,144,3,57,93.994,-36.4,no
services,single,high.school,telephone,158,3,32,93.994,-36.4,no
admin.,married,basic.9y,telephone,220,3,49,93.994,-36.4,no
unknown,married,unknown,telephone,325,2,57,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,254,2,58,93.994,-36.4,no
technician,married,high.school,telephone,503,2,52,93.994,-36.4,no
services,divorced,professional.course,telephone,680,2,50,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,421,4,41,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,130,3,33,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,164,2,57,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,174,3,48,93.994,-36.4,no
technician,married,professional.course,telephone,113,2,55,93.994,-36.4,no
management,married,university.degree,telephone,195,2,38,93.994,-36.4,no
services,married,high.school,telephone,347,3,38,93.994,-36.4,no
admin.,married,university.degree,telephone,208,2,53,93.994,-36.4,no
unemployed,single,university.degree,telephone,404,4,43,93.994,-36.4,no
blue-collar,single,high.school,telephone,396,2,36,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,98,2,32,93.994,-36.4,no
services,married,basic.4y,telephone,229,3,33,93.994,-36.4,no
entrepreneur,married,basic.4y,telephone,350,2,58,93.994,-36.4,no
unemployed,divorced,high.school,telephone,88,3,40,93.994,-36.4,no
management,married,university.degree,telephone,379,2,57,93.994,-36.4,no
technician,married,high.school,telephone,168,3,45,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,190,3,42,93.994,-36.4,no
admin.,married,university.degree,telephone,158,1,46,93.994,-36.4,no
technician,married,university.degree,telephone,210,1,36,93.994,-36.4,no
self-employed,married,high.school,telephone,102,1,41,93.994,-36.4,no
admin.,divorced,basic.9y,telephone,306,1,57,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,64,1,49,93.994,-36.4,no
management,divorced,high.school,telephone,218,1,56,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,77,1,37,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,54,1,37,93.994,-36.4,no
admin.,single,high.school,telephone,344,1,46,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,195,1,22,93.994,-36.4,no
services,married,high.school,telephone,202,1,43,93.994,-36.4,no
blue-collar,married,unknown,telephone,286,1,49,93.994,-36.4,no
technician,married,basic.6y,telephone,278,1,41,93.994,-36.4,no
admin.,single,university.degree,telephone,189,1,38,93.994,-36.4,no
admin.,married,basic.9y,telephone,83,1,33,93.994,-36.4,no
admin.,married,university.degree,telephone,18,1,49,93.994,-36.4,no
blue-collar,single,unknown,telephone,184,2,30,93.994,-36.4,no
admin.,married,basic.9y,telephone,235,1,33,93.994,-36.4,no
management,single,university.degree,telephone,290,1,34,93.994,-36.4,no
student,single,unknown,telephone,133,1,30,93.994,-36.4,no
management,married,basic.4y,telephone,318,1,59,93.994,-36.4,no
management,married,basic.4y,telephone,437,1,59,93.994,-36.4,no
self-employed,married,university.degree,telephone,402,1,41,93.994,-36.4,no
housemaid,married,basic.6y,telephone,501,4,48,93.994,-36.4,no
unknown,single,unknown,telephone,1201,1,28,93.994,-36.4,yes
services,married,high.school,telephone,1030,1,44,93.994,-36.4,yes
retired,unknown,university.degree,telephone,253,1,59,93.994,-36.4,no
management,married,high.school,telephone,149,1,50,93.994,-36.4,no
admin.,married,university.degree,telephone,144,1,35,93.994,-36.4,no
admin.,married,high.school,telephone,69,1,42,93.994,-36.4,no
admin.,married,basic.9y,telephone,243,1,45,93.994,-36.4,no
technician,married,professional.course,telephone,769,2,36,93.994,-36.4,no
services,married,high.school,telephone,135,3,56,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,231,1,29,93.994,-36.4,no
self-employed,married,university.degree,telephone,442,2,41,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,199,1,42,93.994,-36.4,no
services,single,high.school,telephone,455,1,52,93.994,-36.4,no
services,married,high.school,telephone,152,1,48,93.994,-36.4,no
blue-collar,married,high.school,telephone,124,1,31,93.994,-36.4,no
unemployed,married,university.degree,telephone,424,1,43,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,43,1,36,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,154,1,42,93.994,-36.4,no
services,divorced,basic.6y,telephone,393,1,52,93.994,-36.4,no
admin.,married,high.school,telephone,203,2,39,93.994,-36.4,no
services,married,high.school,telephone,140,2,36,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,326,1,42,93.994,-36.4,no
admin.,married,high.school,telephone,483,1,41,93.994,-36.4,no
technician,married,basic.4y,telephone,259,1,55,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,227,1,30,93.994,-36.4,no
retired,unknown,basic.4y,telephone,673,1,57,93.994,-36.4,no
entrepreneur,married,basic.4y,telephone,576,1,45,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,180,2,51,93.994,-36.4,no
self-employed,single,basic.9y,telephone,90,1,39,93.994,-36.4,no
admin.,married,high.school,telephone,505,1,47,93.994,-36.4,no
services,married,high.school,telephone,245,1,27,93.994,-36.4,no
technician,single,university.degree,telephone,186,1,34,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,208,1,57,93.994,-36.4,no
entrepreneur,married,basic.4y,telephone,623,1,43,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,180,1,49,93.994,-36.4,no
management,married,university.degree,telephone,496,3,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,118,1,38,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,102,2,49,93.994,-36.4,no
management,married,basic.6y,telephone,342,1,58,93.994,-36.4,no
technician,married,professional.course,telephone,225,1,43,93.994,-36.4,no
unknown,married,unknown,telephone,185,3,50,93.994,-36.4,no
